2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218, 10, 2012-05-16, NULL
143, 10, 2009-01-01, 2013-04-27
1,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2010-01-01 ,2013-01-01
143 ,10 ,2010-01-01 ,2013-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2011-01-01 ,2012-01-01
143 ,10 ,2010-01-01 ,2013-01-01
143 ,10 ,2011-01-01 ,2012-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218, 10, 2012-05-16, NULL
143, 10, 2009-01-01, 2013-04-27
1,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2010-01-01 ,2013-01-01
143 ,10 ,2010-01-01 ,2013-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2011-01-01 ,2012-01-01
143 ,10 ,2010-01-01 ,2013-01-01
143 ,10 ,2011-01-01 ,2012-01-01
144 ,10 ,2011-01-01 ,2012-01-01
145 ,11 ,2011-01-01 ,2012-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2010-01-01 ,2013-01-01
143 ,10 ,2010-01-01 ,2013-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2011-01-01 ,2012-01-01
143 ,10 ,2010-01-01 ,2013-01-01
143 ,10 ,2011-01-01 ,2012-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2010-01-01 ,2013-01-01
143 ,10 ,2010-01-01 ,2013-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2011-01-01 ,2012-01-01
143 ,10 ,2010-01-01 ,2013-01-01
143 ,10 ,2011-01-01 ,2012-01-01
144 ,10 ,2011-01-01 ,2012-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2010-01-01 ,2013-01-01
143 ,10 ,2010-01-01 ,2013-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2011-01-01 ,2012-01-01
143 ,10 ,2010-01-01 ,2013-01-01
143 ,10 ,2011-01-01 ,2012-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2010-01-01 ,2013-01-01
143 ,10 ,2010-01-01 ,2013-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2011-01-01 ,2012-01-01
143 ,10 ,2010-01-01 ,2013-01-01
143 ,10 ,2011-01-01 ,2012-01-01
145 ,11 ,2011-01-01 ,2012-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2010-01-01 ,2013-01-01
143 ,10 ,2010-01-01 ,2013-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2011-01-01 ,2012-01-01
143 ,10 ,2010-01-01 ,2013-01-01
143 ,10 ,2011-01-01 ,2012-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2010-01-01 ,2013-01-01
143 ,10 ,2010-01-01 ,2013-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2011-01-01 ,2012-01-01
143 ,10 ,2010-01-01 ,2013-01-01
143 ,10 ,2011-01-01 ,2012-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2010-01-01 ,2013-01-01
143 ,10 ,2010-01-01 ,2013-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2010-01-01 ,2013-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2010-01-01 ,2013-01-01
143 ,10 ,2010-01-01 ,2013-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2010-01-01 ,2013-01-01
144 ,10 ,2011-01-01 ,2012-01-01
145 ,11 ,2011-01-01 ,2012-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2010-01-01 ,2013-01-01
143 ,10 ,2010-01-01 ,2013-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2010-01-01 ,2013-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2010-01-01 ,2013-01-01
143 ,10 ,2010-01-01 ,2013-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2010-01-01 ,2013-01-01
144 ,10 ,2011-01-01 ,2012-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2010-01-01 ,2013-01-01
143 ,10 ,2010-01-01 ,2013-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2010-01-01 ,2013-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2010-01-01 ,2013-01-01
143 ,10 ,2010-01-01 ,2013-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2010-01-01 ,2013-01-01
145 ,11 ,2011-01-01 ,2012-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2010-01-01 ,2013-01-01
143 ,10 ,2010-01-01 ,2013-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2010-01-01 ,2013-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2010-01-01 ,2013-01-01
143 ,10 ,2010-01-01 ,2013-01-01
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2009-01-01 ,2013-04-27
1 ,1 ,2020-10-11 ,2022-10-12
2 ,1 ,2022-10-10 ,2020-10-10
3 ,3 ,2023-10-10 ,2024-10-10
4 ,3 ,2020-10-10 ,2020-11-11
5 ,3 ,2002-10-10 ,2002-11-11
218 ,10 ,2012-05-16 ,null
143 ,10 ,2010-01-01 ,2013-01-01
